origin,destination,carrier,departure,arrival,carrier_eta
CNSHA,USA,STANDARD_CLASS,2016-04-01,2016-04-05,2016-04-05
CNSHA,USA,STANDARD_CLASS,2016-04-01,2016-04-03,2016-04-05
CNSHA,USA,STANDARD_CLASS,2016-04-01,2016-04-06,2016-04-05
CNSHA,USA,FIRST_CLASS,2016-04-02,2016-04-04,2016-04-03
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-05,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-04,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-05,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-08,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-06,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-08,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-04,2016-04-06
CNSHA,USA,FIRST_CLASS,2016-04-02,2016-04-04,2016-04-03
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-07,2016-04-06
CNSHA,USA,SECOND_CLASS,2016-04-02,2016-04-08,2016-04-04
CNSHA,USA,SECOND_CLASS,2016-04-02,2016-04-08,2016-04-04
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-05,2016-04-06
CNSHA,USA,FIRST_CLASS,2016-04-02,2016-04-04,2016-04-03
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-05,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-04,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-02,2016-04-04,2016-04-06
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,SECOND_CLASS,2016-04-03,2016-04-06,2016-04-05
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,SECOND_CLASS,2016-04-03,2016-04-05,2016-04-05
CNSHA,USA,SECOND_CLASS,2016-04-03,2016-04-05,2016-04-05
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-07,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-08,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-06,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-09,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-09,2016-04-07
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-08,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-06,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-06,2016-04-07
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-09,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-07,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-08,2016-04-07
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-05,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-09,2016-04-07
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-06,2016-04-07
CNSHA,USA,FIRST_CLASS,2016-04-03,2016-04-05,2016-04-04
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-06,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-03,2016-04-09,2016-04-07
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-10,2016-04-06
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-08,2016-04-06
CNSHA,USA,FIRST_CLASS,2016-04-04,2016-04-06,2016-04-05
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-09,2016-04-06
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-09,2016-04-06
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-06,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-04,2016-04-06,2016-04-08
CNSHA,USA,STANDARD_CLASS,2016-04-04,2016-04-10,2016-04-08
CNSHA,USA,FIRST_CLASS,2016-04-04,2016-04-06,2016-04-05
CNSHA,USA,STANDARD_CLASS,2016-04-04,2016-04-06,2016-04-08
CNSHA,USA,STANDARD_CLASS,2016-04-04,2016-04-07,2016-04-08
CNSHA,USA,STANDARD_CLASS,2016-04-04,2016-04-07,2016-04-08
CNSHA,USA,FIRST_CLASS,2016-04-04,2016-04-06,2016-04-05
CNSHA,USA,STANDARD_CLASS,2016-04-04,2016-04-06,2016-04-08
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-06,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-04,2016-04-09,2016-04-08
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-04,2016-04-09,2016-04-08
